Ref,Val,Package,PosX,PosY,Rot,Side
"AC1","ADXL345BCCZ-RL7","CC-14-1",147.136000,-102.788500,-90.000000,top
"C1","15p ","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",163.576000,-114.554000,90.000000,top
"C2","15p","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",163.068000,-116.332000,180.000000,top
"C3","2u2","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",159.258000,-100.784000,90.000000,top
"C4","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",153.670000,-103.886000,180.000000,top
"C5","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",153.670000,-107.442000,180.000000,top
"C6","2u2","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",158.242000,-100.784000,90.000000,top
"C7","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",159.258000,-112.014000,-90.000000,top
"C8","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",160.528000,-112.014000,-90.000000,top
"C9","2u2","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",164.084000,-100.584000,90.000000,top
"C10","2u2","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",162.814000,-100.584000,90.000000,top
"C11","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",164.880000,-103.886000,0.000000,top
"C12","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",164.880000,-107.696000,0.000000,top
"C13","47u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.932000,-116.840000,0.000000,top
"C14","47u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.932000,-114.554000,0.000000,top
"C15","2u2","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",162.306000,-96.288000,0.000000,top
"C16","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",162.106000,-94.488000,0.000000,top
"C17","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",147.828000,-111.506000,180.000000,top
"C18","10uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.050000,-113.284000,180.000000,top
"C19","10uf1","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",145.949500,-98.044000,0.000000,top
"C20","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",145.949500,-99.913000,0.000000,top
"C21","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",149.098000,-98.552000,-90.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.132000,-99.822000,-90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",140.716000,-99.568000,-90.000000,top
"D3","MBR120VLSFT1G","SODFL3616X98N",154.432000,-117.602000,90.000000,top
"IC1","RP2040","QFN40P700X700X90-57N-D",159.258000,-106.426000,0.000000,top
"IC2","W25Q16JVUXIQ","SON50P300X200X60-9N",158.750000,-95.504000,0.000000,top
"J1","Conn_01x03_Male","PinHeader_1x03_P1.27mm_Vertical",157.983000,-117.602000,90.000000,top
"J2","USB_B_Micro","USB_Micro-B_Molex-105017-0001",141.732000,-109.728000,-90.000000,top
"L1","2u2","L_0402_1005Metric",142.240000,-115.570000,-90.000000,top
"R1","4.7k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",166.878000,-102.616000,180.000000,top
"R2","DNP","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",166.074000,-112.330000,180.000000,top
"R3","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",166.074000,-110.998000,180.000000,top
"R4","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",140.970000,-102.362000,0.000000,top
"R5","27r","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",160.274000,-100.784000,-90.000000,top
"R6","27r","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",161.290000,-100.784000,-90.000000,top
"R7","5k6","R_01005_0402Metric_Pad0.57x0.30mm_HandSolder",146.304000,-106.172000,90.000000,top
"R8","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.574000,-106.426000,-90.000000,top
"R9","100k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",149.152000,-118.618000,0.000000,top
"R10","100k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",149.152000,-119.888000,0.000000,top
"R11","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",155.194000,-93.726000,0.000000,top
"R12","DNP","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",155.194000,-95.250000,0.000000,top
"R13","4.7k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",148.598000,-109.982000,180.000000,top
"R14","4.7k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",148.598000,-108.966000,180.000000,top
"R15","4.7k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",151.130000,-102.707000,0.000000,top
"R16","4.7k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",151.130000,-104.231000,0.000000,top
"SW1","SW_Push","Panasonic_EVQPUM_EVQPUD",149.606000,-94.488000,0.000000,top
"U1","RT6150B-33GQW","RT6150B-33GQW",145.288000,-116.078000,0.000000,top
"U2","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",151.638000,-110.744000,90.000000,top
"Y1","12MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",165.820000,-115.062000,-90.000000,top
